date,open,high,low,close,adj_close,volume
2025-03-03,1500,1531.5,1476.2,1493.05,1414.312,2851006
2025-03-04,1475,1499.45,1433.05,1488.25,1409.765,2386196
2025-03-05,1488.25,1549,1487.5,1538.1,1456.9861,1967418
2025-03-06,1541,1550.8,1500.95,1503.45,1424.1635,2246380
2025-03-07,1501.95,1507.2,1482,1492.35,1413.6488,893696
2025-03-10,1492.35,1500,1482.5,1486.85,1408.439,798491
2025-03-11,1464.5,1487.4,1453.6,1479.2,1401.1923,1769157
2025-03-12,1481,1489,1408.8,1438.3,1362.4492,2665932
2025-03-13,1442,1456.25,1422,1440.65,1364.6753,995812
2025-03-17,1442.95,1448,1425.2,1440.1,1364.1543,1747569
2025-03-18,1440.1,1440.1,1440.1,1440.1,1364.1543,0
2025-03-19,1430.65,1431.8,1394.4,1396.15,1322.5221,5557840
2025-03-20,1403.15,1421,1400.05,1410.55,1336.1627,2863413
2025-03-21,1390.05,1431.1,1382.05,1409.25,1334.9313,4056023
2025-03-24,1415.85,1467.65,1413.6,1458.65,1381.7261,3072831
2025-03-25,1474,1483.9,1449.45,1455.5,1378.7422,2056315
2025-03-26,1464,1464,1409.5,1416.3,1341.6095,2231144
2025-03-27,1407.15,1430,1406,1423.9,1348.8086,2541022
2025-03-28,1415.1,1430,1408.55,1418.25,1343.4565,1642693
2025-04-01,1402,1416.95,1385.4,1395.15,1321.5748,1578367
2025-04-02,1397.15,1426.05,1397.15,1423.05,1348.0035,1617949
2025-04-03,1397,1400,1360.25,1369.35,1297.1353,1943422
2025-04-04,1350,1359.2,1318.85,1320.95,1251.2878,1757493
2025-04-07,1245,1293.8,1209.4,1288,1220.0754,3044730
2025-04-08,1314,1342.05,1291.15,1314.4,1245.0833,2868814
2025-04-09,1290,1299.95,1264.35,1272.75,1205.6296,3724878
2025-04-11,1275,1312.35,1274.2,1282.25,1214.6287,1803181
2025-04-15,1314.2,1314.2,1286.8,1301.7,1233.053,1511866
2025-04-16,1292,1314.6,1283.5,1308.7,1239.6838,1093342
2025-04-17,1295.1,1308.9,1275.9,1306.8,1237.8842,3027966
2025-04-21,1304,1389,1303,1373.5,1301.0665,3759267
2025-04-22,1374,1396,1361.2,1376.5,1303.9084,2471135
2025-04-23,1418.9,1449.4,1408,1439.6,1363.6807,5944062
2025-04-24,1445,1467.5,1434.3,1445.2,1368.9854,2501415
2025-04-25,1455.4,1473.9,1375,1462,1384.8994,8211667
2025-04-28,1469.3,1480,1437,1461.5,1384.4258,2079431
2025-04-29,1466.2,1504.9,1463.3,1495.3,1416.4432,2652788
2025-04-30,1495.3,1510.8,1490,1503,1423.7372,1858465
