date,open,high,low,close,adj_close,volume
2025-11-12,335,345,320,329.45,325.7726,31273277
2025-11-13,316.6,326,316,320.75,317.1697,12079524
2025-11-14,310,335,306.3,317.6,314.0549,165519798
2025-11-17,321.8,325.5,313,322.6,318.9991,17163624
2025-11-18,317.2,327,310,325.15,321.5206,13458307
2025-11-19,320.05,333,318,325.3,321.6689,12999201
2025-11-20,322,326,320.1,322.85,319.2463,9883805
2025-11-21,321.05,325.2,317.05,324.1,320.4823,6066926
2025-11-24,321.6,324,314.35,320.6,317.0214,16657006
2025-11-25,314,320,310.05,317.85,314.3021,7686623
2025-11-26,320,325.5,317.75,324.05,320.4329,9984230
2025-11-27,322.5,347.7,322,343.9,340.0613,22672738
2025-11-28,340.55,359.9,331.1,352,348.0709,18549631
2025-12-01,352.45,365,351.15,359.05,355.0422,12843866
2025-12-02,360,368,352.15,354.8,350.8396,8297661
2025-12-03,354,362.25,346.5,360.4,356.3771,11412231
2025-12-04,357.75,361.5,354.15,356.45,352.4712,7199260
2025-12-05,355,361.45,349.35,359.55,355.5366,6652749
2025-12-08,358,364.2,357.1,360.35,356.3277,6936051
2025-12-09,357.1,381.95,353.5,373.1,368.9354,16119717
2025-12-10,378.05,382.95,368.35,377.8,373.5829,16089720
2025-12-11,378.2,379.9,370.15,372.8,368.6387,9667951
2025-12-12,371.5,379,366.35,373.45,369.2815,12391574
2025-12-15,372.5,379.15,365.2,377.95,373.7312,7033258
2025-12-16,377.95,390,374.5,387.35,383.0263,10329070
2025-12-17,389,397.5,383.55,386.9,382.5813,10044939
2025-12-18,391,406.8,390.2,401.05,396.5734,18688147
2025-12-19,402.05,403.3,385.25,394.35,389.9482,22075008
2025-12-22,396.35,414,394.35,411.7,407.1045,12081781
2025-12-23,412.85,428.2,412.5,426.1,421.3438,13800012
2025-12-24,427.15,432.3,408,408.75,404.1874,19626872
2025-12-26,410,416.5,403.4,408.65,404.0885,9030231
2025-12-29,410,418,406.55,409.5,404.929,7173718
2025-12-30,409.95,415.5,406,409.65,405.0774,6416425
2025-12-31,411.85,418,409.7,415.5,410.8621,6269208
2026-01-01,419.2,430,417.55,427.75,422.9753,10096081
2026-01-02,433.1,448,432.75,442.25,437.3135,15267178
2026-01-05,433.85,437.8,422.5,426.45,421.6898,15748095
2026-01-06,429.95,437.45,427.2,432.65,427.8206,8271070
2026-01-07,435,440.65,430.15,435.75,430.886,13125259
2026-01-08,436.85,441.5,430.5,435.2,430.3422,11209566
2026-01-09,431,446.15,428.2,431.55,426.7329,15300641
2026-01-12,430,430.05,414.7,424.9,420.1571,10323536
2026-01-13,425.3,432.5,422.15,424.15,419.4155,7174148
2026-01-14,426.05,436,422.65,433.75,428.9084,9765782
