date,open,high,low,close,adj_close,volume
2025-03-03,620.65,626.85,606.3,621.15,610.7883,18362700
2025-03-04,613.45,629.15,613,619.2,608.8708,11878225
2025-03-05,619,641.6,618.6,640.8,630.1105,12373061
2025-03-06,653.25,655.95,635.6,639.65,628.9797,16991501
2025-03-07,640,651.5,635,648.3,637.4854,10123450
2025-03-10,648.3,654.25,643.35,648.15,637.338,10309166
2025-03-11,640,651.15,638.45,648.05,637.2396,9534750
2025-03-12,654.5,671.9,652.25,668.3,657.1518,18732785
2025-03-13,670.65,671.85,649.6,655.5,644.5653,14004345
2025-03-17,665.05,666.45,657.45,661.05,650.0227,9174398
2025-03-18,661.05,661.05,661.05,661.05,650.0227,0
2025-03-19,685.4,685.75,678.55,682.25,670.8691,9338414
2025-03-20,685,692.7,679,690.05,678.5389,9712600
2025-03-21,693,705,688.55,702.95,691.2238,14823483
2025-03-24,710,717.5,702.05,713.5,701.5978,11671359
2025-03-25,719,723.05,706.35,710.3,698.4511,13617465
2025-03-26,710.3,717.85,707,708.25,696.4354,9363180
2025-03-27,668,676.6,661.1,668.55,657.3976,34238666
2025-03-28,671.85,684.95,669.3,674.45,663.1992,16013687
2025-04-01,670.55,681.85,665.75,671.85,660.6425,9594669
2025-04-02,674.95,675.35,662.1,671.9,660.6917,8025225
2025-04-03,660,669,652.5,653.95,643.0412,13473832
2025-04-04,650,650,610,613.85,603.61,26621179
2025-04-07,560.5,582,535.75,579.75,570.0789,49463598
2025-04-08,591.2,606.6,584.2,588.85,579.0271,20987855
2025-04-09,588,594.9,581.05,582.9,573.1764,17483412
2025-04-11,610,612.8,591,595.05,585.1237,21055814
2025-04-15,614,628.3,612.65,622.2,611.8208,19722072
2025-04-16,625,625,613.6,616.05,605.7734,12318376
2025-04-17,616.05,627,608.25,621.55,611.1816,14342652
2025-04-21,624.6,635.75,620.2,630.05,619.5398,12785568
2025-04-22,630.25,633.95,626.2,630.85,620.3265,10292748
2025-04-23,635.95,661.5,633.35,659.9,648.892,23390570
2025-04-24,660.1,671,660.1,668.35,657.2009,15172229
2025-04-25,668.35,673,651.5,655.25,644.3195,13207043
2025-04-28,654.3,669.6,652.55,668.15,657.0043,10243493
2025-04-29,671.45,682.9,661.6,665.6,654.4968,13754685
2025-04-30,667,667,641.1,644.25,633.5029,19485917
2025-05-02,641,661.35,635.55,649.1,638.2721,11488717
2025-05-05,662.95,666.65,655.85,661.55,650.5143,8868484
2025-05-06,661.55,663.2,645.5,648.2,637.3871,12718175
2025-05-07,642,682.5,641.15,680.3,668.9516,30390515
2025-05-08,700,704.5,677.2,682.85,671.459,29315465
2025-05-09,667.5,711,666,708.5,696.6812,40183276
2025-05-12,728,732,711.2,720.8,708.776,20133616
2025-05-13,720.8,726,703.25,707.7,695.8946,16125700
2025-05-14,690,708,686,698.95,687.2905,31505402
2025-05-15,698.75,729.8,696.15,728.1,715.9542,28634074
2025-05-16,730,742,725.55,730.7,718.5109,20631512
2025-05-19,732,738.1,728,729.5,717.3309,10460217
2025-05-20,730,737.75,717,718.9,706.9077,14472506
2025-05-21,719,729.5,718,726.8,714.6759,8998596
