date,open,high,low,close,adj_close,volume
2025-03-03,2920,2987.95,2886.45,2959.25,2927.7056,287062
2025-03-04,2945.5,2987.2,2919.05,2930.3,2899.0642,401576
2025-03-05,2930.3,2985.8,2902.25,2978.75,2946.9978,195287
2025-03-06,2994.8501,3069.55,2974.05,3059,3026.3923,261988
2025-03-07,3065,3085,3046.45,3073.8,3041.0347,284470
2025-03-10,3056.8501,3144.8999,3048.5,3071.1001,3038.3635,328858
2025-03-11,3045,3097.3,3027.6499,3057.95,3025.3535,275298
2025-03-12,3085.5,3107.8,3031.8,3096.5,3063.4924,188711
2025-03-13,3099,3109.8501,3047.8,3056.05,3023.4739,170542
2025-03-17,3060,3094.95,3038.3999,3066.3501,3033.6643,216124
2025-03-18,3066.3501,3066.3501,3066.3501,3066.3501,3033.6643,0
2025-03-19,3135.7,3200,3075,3191.3,3157.2822,358238
2025-03-20,3225,3242.8501,3184.3,3230.75,3196.3118,186344
2025-03-21,3240,3275,3199.25,3223.1001,3188.7432,477309
2025-03-24,3236.95,3300,3195.8,3271.45,3236.5779,290413
2025-03-25,3299.95,3300.8999,3191.3999,3245.05,3210.4592,279418
2025-03-26,3245.1001,3253.55,3190,3219.1001,3184.7856,186816
2025-03-27,3202,3250,3152.05,3233.1499,3198.6858,551167
2025-03-28,3233.2,3249.95,3202.7,3227.95,3193.5413,271746
2025-04-01,3198.8999,3231.75,3170,3183.8999,3149.9609,215496
2025-04-02,3187.7,3217.25,3164.05,3207.1001,3172.9138,202794
2025-04-03,3236.3999,3321.6001,3225,3247.7,3213.0808,228524
2025-04-04,3248.5,3309.6499,3180,3286.5,3251.4675,513622
2025-04-07,3226,3304.8999,3167.05,3233.55,3199.0818,1329653
2025-04-08,3241.2,3270.6499,3190.1499,3246.6001,3211.9927,602145
2025-04-09,3214.3,3238.95,3107.3999,3126.8,3093.4697,282721
2025-04-11,3145,3192.05,3123.6499,3129,3095.6462,420358
2025-04-15,3206.3999,3235,3129,3221.8,3187.4568,330278
2025-04-16,3225,3260.2,3200.5,3222.7,3188.3472,210528
2025-04-17,3226.8,3266.8,3201.3999,3254.8,3220.1052,202256
2025-04-21,3280,3284.3,3231,3254.6001,3219.9072,168941
2025-04-22,3269.6001,3272.8999,3209.2,3246.3999,3211.7947,473579
2025-04-23,3260,3354.8999,3230.1001,3332.3999,3296.8779,390583
2025-04-24,3344.8999,3352.2,3303,3325.1001,3289.656,233361
2025-04-25,3349.1001,3349.1001,3168.8,3238.8999,3204.3745,330175
2025-04-28,3240,3345.8,3240,3335,3299.4504,479709
2025-04-29,3348,3351.3999,3307,3322.7,3287.2813,180900
2025-04-30,3322.7,3360,3287.1001,3322,3286.5889,1148944
2025-05-02,3312.5,3325,3226.6001,3232.6001,3198.1418,94311
2025-05-05,3258.8999,3300,3256.1001,3285.2,3250.1812,88781
2025-05-06,3287,3299.8,3237.8999,3270.1001,3235.2422,121815
2025-05-07,3164.7,3300,3164.7,3291.1001,3256.0186,257116
2025-05-08,3315,3327,3170.7,3185.8,3151.8408,214566
2025-05-09,3140,3197.3999,3101.6001,3141.2,3107.7161,535042
2025-05-12,3152,3246.8999,3115.7,3237.7,3203.1875,230359
2025-05-13,3237.7,3289,3213.3999,3236,3201.5056,171501
2025-05-14,3218.1001,3261.3999,3212.1001,3244.8999,3210.3105,197710
2025-05-15,3245,3279.6001,3203.1001,3265,3230.1965,182769
2025-05-16,3274.8,3274.8,3230,3266.8,3231.9775,358759
2025-05-19,3267.2,3314,3250,3302.8,3267.5938,245907
2025-05-20,3302.8,3310.8,3219,3241.5,3206.947,490947
2025-05-21,3245,3371.8999,3245,3289,3253.9407,1098579
2025-05-22,3288,3288,3205.2,3212,3177.7615,376149
2025-05-23,3222,3222,3160,3174.7,3140.8589,342311
2025-05-26,3202,3202,3142.8,3187.3999,3153.4233,203985
2025-05-27,3187.3999,3187.3999,3145,3175.7,3141.8481,342162
2025-05-28,3172.1001,3177.3,3139.1001,3165.8999,3132.1528,446655
2025-05-29,3165,3215,3131.1001,3161.1001,3127.4043,352271
2025-05-30,3161.1001,3191.8999,3150,3174.7,3140.8589,484246
2025-06-02,3153,3160,3102,3127.8,3094.459,352903
2025-06-03,3132,3156,3113.6001,3135,3101.582,427912
2025-06-04,3120,3156.6001,3108.8,3137.1001,3103.6599,364196
