date,open,high,low,close,adj_close,volume
2025-03-03,4900.0498,5022.9502,4775,4946.8999,4936.7505,1415550
2025-03-04,4898.8999,5069.8999,4865.7002,4999.7998,4989.5415,898723
2025-03-05,4987,5320,4987,5106.1001,5095.624,2128488
2025-03-06,5174.5,5174.5,4970.9502,5069.5,5059.0991,1499675
2025-03-07,5075,5099.9502,4985,4999.8501,4989.5918,690809
2025-03-10,4990,4997.8501,4787.75,4799.7002,4789.8525,1217553
2025-03-11,4739.7002,5045,4722.9502,4995.4502,4985.2007,1437957
2025-03-12,5010.6001,5105,4960,5015.3501,5005.0601,1026027
2025-03-13,5030,5107.8999,4970.1001,5022.3999,5012.0952,860279
2025-03-17,5022.3999,5179.8999,5014,5159.5498,5148.9644,856529
2025-03-18,5159.5498,5159.5498,5159.5498,5159.5498,5148.9644,0
2025-03-19,5276.0498,5299.8999,5194.6001,5230.8501,5220.1177,957079
2025-03-20,5247,5275.5498,5158.7998,5221.5498,5210.8364,759448
2025-03-21,5224.5,5293.4502,5125.5,5150.0498,5139.4834,1197537
2025-03-24,5150.4502,5168.1499,5044.7998,5054.7002,5044.3291,908085
2025-03-25,5121.4502,5248.7998,5066,5185.0498,5174.4121,1461587
2025-03-26,5205,5410,5118.5,5321.9502,5311.0313,1625697
2025-03-27,5359,5444.9502,5335.7998,5422.2998,5411.1753,1670468
2025-03-28,5422.9502,5525.9502,5290,5325.1499,5314.2241,1535964
2025-04-01,5350.8501,5614.9502,5334.2002,5576.75,5565.3081,2260895
2025-04-02,5630.5498,5702,5515.7998,5682.5,5670.8413,1491897
2025-04-03,5630,5751,5610,5675.2998,5663.6558,960710
2025-04-04,5688,5688,5544.3999,5562.8501,5551.437,680922
2025-04-07,5006.6001,5006.6001,4488,4740.9502,4731.2236,7644740
2025-04-08,4903,4964.0498,4684.2002,4767.2002,4757.4194,3035242
2025-04-09,4767,4767.2002,4605,4620.2002,4610.7207,1598513
2025-04-11,4782.5,4830,4660.75,4780.5498,4770.7417,1894062
2025-04-15,4879,4985,4830.5,4877,4866.9937,1587931
2025-04-16,4922,5049.5,4852,5035.5,5025.1685,1589998
2025-04-17,5052,5144,4954,5130.5,5119.9736,1464066
2025-04-21,5180,5374.5,5126,5360,5349.0029,1309441
2025-04-22,5379,5418.5,5300,5323,5312.0791,1166872
