date,open,high,low,close,adj_close,volume
2025-03-03,2268.95,2335,2248.1001,2323.8501,2306.1926,1316845
2025-03-04,2289.95,2335,2252.3,2293.8999,2276.47,1208564
2025-03-05,2308.6001,2347.3999,2280.5,2330.7,2312.9902,695924
2025-03-06,2358,2358,2292.55,2319.5,2301.8755,651917
2025-03-07,2332,2359.1001,2307.7,2332.8999,2315.1736,683846
2025-03-10,2332.8999,2341.3999,2245,2257.25,2240.0986,480419
2025-03-11,2247,2299.1499,2218.8,2288.8501,2271.4585,574902
2025-03-12,2291,2299.95,2242.2,2259,2241.8352,519721
2025-03-13,2255.05,2287.95,2246.05,2250.8999,2233.7969,413139
2025-03-17,2258.55,2313.45,2256.05,2266.8,2249.5762,582066
2025-03-18,2266.8,2266.8,2266.8,2266.8,2249.5762,0
2025-03-19,2324,2342.5,2303.7,2319.75,2302.1235,610676
2025-03-20,2348.1499,2353.05,2308.5,2346.8,2328.9683,597377
2025-03-21,2355.8501,2450,2350.05,2413.8501,2395.5088,1871573
2025-03-24,2434,2457.75,2395.05,2444.7,2426.1243,703461
2025-03-25,2464,2464,2410,2421.5,2403.1006,767700
2025-03-26,2415,2450,2407,2429.2,2420.7388,512282
2025-03-27,2411.95,2460.95,2370,2455.6499,2447.0967,636174
2025-03-28,2463,2468,2401.5,2419.8501,2411.4214,582409
2025-04-01,2425,2459.2,2392.8999,2440.8501,2432.3484,463333
2025-04-02,2450,2518.45,2443.55,2496.1001,2487.406,832671
2025-04-03,2470,2501,2441.25,2476.05,2467.4258,529522
2025-04-04,2473.05,2550.95,2450.3999,2464.95,2456.3643,567198
2025-04-07,2245.25,2394.8999,2221.1001,2368.1499,2359.9014,1050483
2025-04-08,2395.05,2449,2360.5,2437.6499,2429.1592,692612
2025-04-09,2450,2488.7,2417.1001,2475.25,2466.6284,898839
2025-04-11,2511.6499,2530,2496.05,2513.3,2504.5459,912929
2025-04-15,2586,2600.5,2545.8,2586.5,2577.491,1045478
2025-04-16,2589,2624.8,2567.3999,2614.2,2605.0945,591510
2025-04-17,2600,2690,2600,2679.3,2669.9678,891895
2025-04-21,2695,2745.1001,2668.2,2735.6001,2726.0718,454985
2025-04-22,2755,2771.5,2723.3,2738.5,2728.9614,1128946
2025-04-23,2738.5,2816.1001,2720.5,2806.7,2796.9238,465708
2025-04-24,2798,2820,2750.5,2773.8999,2764.238,605270
2025-04-25,2791,2809.7,2695,2737.8999,2728.3635,711996
2025-04-28,2745,2848.8999,2710,2793.1001,2783.3713,859499
2025-04-29,2774,2797.8,2680.1001,2702.6001,2693.1865,2948364
2025-04-30,2702.8999,2708.8999,2655,2672,2662.6931,1551074
2025-05-02,2700.5,2752,2700,2720,2710.5259,1412488
2025-05-05,2731.8,2796.2,2727.3,2782.6001,2772.908,833618
2025-05-06,2794,2829.8999,2758,2773.5,2763.8396,961359
2025-05-07,2755,2811,2755,2792.3,2782.5742,779782
2025-05-08,2800,2808.2,2680.2,2695.6001,2686.2109,888115
2025-05-09,2645,2686.1001,2640,2663.7,2654.4219,964332
2025-05-12,2725,2774,2719.7,2760.7,2751.0842,701314
2025-05-13,2764,2780.8,2700,2712.3999,2702.9524,657860
2025-05-14,2720.3999,2738,2689,2727.3,2717.8005,609489
2025-05-15,2727.3,2794.8,2709,2789.8,2780.0828,1126642
2025-05-16,2799.8999,2853.8999,2777,2841.5,2831.6028,823478
2025-05-19,2854.5,2878.8999,2815.2,2825.1001,2815.26,841294
2025-05-20,2840,2840,2744.3,2751.2,2741.6172,680986
2025-05-21,2761.1001,2808,2741.1001,2767.3,2757.6611,486324
2025-05-22,2767.1001,2810,2717,2802.8,2793.0376,785085
2025-05-23,2822,2824.2,2777.5,2780.6001,2770.915,537902
2025-05-26,2794,2815,2769.7,2776.8,2767.1282,656043
2025-05-27,2790,2805.5,2745.8,2799.7,2789.9482,457064
2025-05-28,2799.7,2812.8999,2779.1001,2801.5,2791.7419,479024
2025-05-29,2817.8,2832.8999,2790.8,2808.6001,2798.8174,601733
2025-05-30,2795.1001,2809,2733.1001,2780.8,2771.1143,1690693
2025-06-02,2785,2796.8999,2722.1001,2763.3999,2753.7747,673513
2025-06-03,2764.1001,2778.5,2735.5,2744.8,2735.2395,453177
2025-06-04,2750,2780.3999,2745.7,2760.3999,2750.7852,440642
2025-06-05,2769.7,2769.7,2704.2,2717.6001,2708.1343,969443
2025-06-06,2739,2759,2708,2747.8,2738.2292,825448
2025-06-09,2765,2769,2718,2743.2,2733.645,645071
2025-06-10,2745,2764,2732.1001,2745,2735.439,570176
2025-06-11,2750,2809,2745,2771,2761.3484,1303148
2025-06-12,2782,2790,2727,2739.3999,2729.8582,418847
2025-06-13,2705,2747.8,2655.1001,2740.8999,2731.353,554368
2025-06-16,2740.8999,2799.6001,2719.5,2796.5,2786.7595,568490
2025-06-17,2807,2808,2769.1001,2777.2,2767.5266,480492
2025-06-18,2777.2,2825,2760.5,2775.8999,2766.2312,792908
2025-06-19,2762.2,2817,2762.2,2779.8999,2770.2173,597873
2025-06-20,2791.6001,2833.7,2756.1001,2812.1001,2802.3052,1007979
2025-06-23,2800,2809.8999,2767.1001,2778.6001,2768.9219,414211
