date,open,high,low,close,adj_close,volume
2025-03-03,10319.25,10621.7998,10283.1504,10340.7998,10070.1172,835344
2025-03-04,10250,10454.7998,10240,10370.0996,10098.6504,352922
2025-03-05,10387.9004,10506.7998,10295.25,10464.2002,10190.2881,310832
2025-03-06,10539.7998,10540,10317.2002,10493.5,10218.8203,365920
2025-03-07,10501,10609.5996,10446.7002,10582.4004,10305.3945,302339
2025-03-10,10589,10645.5996,10477,10520.0996,10244.7246,165649
2025-03-11,10411,10508.5498,10356.25,10439.25,10165.9912,180753
2025-03-12,10480,10549.7998,10362,10520.4004,10245.0176,299765
2025-03-13,10520,10520,10380.0996,10452.0996,10178.5039,219474
2025-03-17,10546.5,10577.3496,10448,10547.0996,10271.0176,212061
2025-03-18,10547.0996,10547.0996,10547.0996,10547.0996,10271.0176,0
2025-03-19,10710,10945.0996,10700,10933.25,10647.0596,269175
2025-03-20,10931.1504,11240,10816,10948.1504,10661.5703,549251
2025-03-21,11019,11064,10885.6504,10976.75,10689.4209,656565
2025-03-24,11018.9502,11077.9502,10853.8496,11051.2002,10761.9229,294688
2025-03-25,11240,11478.8496,11204.7002,11421.2002,11122.2383,754457
2025-03-26,11381,11487,11300,11402.0996,11103.6367,401569
2025-03-27,11400.5,11629.9502,11350,11599.5996,11295.9668,406112
2025-03-28,11585.5,11699,11458.6504,11509.5498,11208.2744,280960
2025-04-01,11350,11565.6504,11337.1504,11378.6504,11080.8018,263144
2025-04-02,11360,11360,11178.0996,11250.9502,10956.4443,376468
2025-04-03,11189,11650.0498,11155,11606.5996,11302.7842,361884
2025-04-04,11599,11613.5,11421,11498.6504,11197.6602,222191
2025-04-07,11200,11300.0498,11015.0498,11191.5996,10898.6475,484513
2025-04-08,11317.75,11542.75,11240.7998,11270.4502,10975.4336,602120
2025-04-09,11288.8496,11423,11180,11397.0498,11098.7197,230611
2025-04-11,11842.3496,11842.3496,11454.0498,11502.6504,11201.5557,351037
2025-04-15,11749,11749,11581,11719,11412.2422,345260
2025-04-16,11667,11827,11667,11728,11421.0068,268150
2025-04-17,11667,11922,11600,11901,11589.4785,290473
2025-04-21,11816,12110,11781,11934,11621.6143,230595
2025-04-22,11934,12017,11850,11959,11645.96,334667
2025-04-23,12040,12040,11826,11949,11636.2227,267716
2025-04-24,11877,12188,11870,12159,11840.7246,339743
2025-04-25,12149,12304,11860,12237,11916.6826,412558
2025-04-28,12232,12339,12001,12114,11796.9023,516745
2025-04-29,12201,12222,11800,11869,11558.3164,516495
2025-04-30,11869,11925,11500,11641,11336.2842,630392
2025-05-02,11641,11750,11481,11613,11309.0176,189474
2025-05-05,11702,11728,11652,11670,11364.5244,145699
2025-05-06,11699,11729,11544,11693,11386.9229,273048
2025-05-07,11651,11700,11553,11658,11352.8389,217460
2025-05-08,11601,11740,11539,11631,11326.5459,388912
2025-05-09,11480,11558,11313,11364,11066.5352,200270
2025-05-12,11590,11767,11565,11736,11428.7969,182795
2025-05-13,11700,11748,11566,11661,11355.7607,307678
2025-05-14,11676,11741,11624,11672,11366.4727,179337
2025-05-15,11672,11932,11643,11894,11582.6611,371371
2025-05-16,11950,11990,11857,11905,11593.373,209706
2025-05-19,11904,11991,11880,11929,11616.7461,128237
2025-05-20,11969,11980,11669,11697,11390.8184,158934
2025-05-21,11697,11910,11634,11666,11360.6299,173017
2025-05-22,11666,11700,11517,11680,11374.2637,175370
2025-05-23,11727,11875,11661,11746,11438.5352,181463
2025-05-26,11800,11884,11645,11689,11383.0283,198003
2025-05-27,11676,11722,11375,11421,11122.043,478345
2025-05-28,11455,11470,11200,11238,10943.833,201200
2025-05-29,11249,11337,11151,11269,10974.0225,350206
2025-05-30,11265,11310,11170,11210,10916.5654,394181
2025-06-02,11180,11219,11019,11195,10901.959,314936
2025-06-03,11280,11292,11000,11035,10746.1465,349615
2025-06-04,11040,11055,10920,11033,10744.1992,345047
2025-06-05,11038,11180,11003,11159,10866.9004,191183
2025-06-06,11180,11311,11120,11253,10958.4404,143723
2025-06-09,11260,11318,11166,11260,10965.2578,209231
2025-06-10,11410,11484,11335,11391,11092.8281,279918
2025-06-11,11380,11518,11340,11464,11163.917,237747
2025-06-12,11475,11505,11280,11323,11026.6074,262530
2025-06-13,11111,11250,11018,11224,10930.1992,181355
2025-06-16,11270,11518,11197,11495,11194.1055,401104
2025-06-17,11500,11509,11360,11383,11085.0371,121415
2025-06-18,11383,11479,11343,11406,11107.4355,156816
2025-06-19,11400,11485,11353,11420,11121.0693,157757
2025-06-20,11420,11525,11370,11458,11158.0742,629895
2025-06-23,11401,11490,11321,11449,11149.3105,304907
2025-06-24,11559,11824,11514,11579,11275.9072,735700
2025-06-25,11635,11771,11634,11733,11425.876,253134
2025-06-26,11690,11986,11681,11951,11638.1699,506580
2025-06-27,11980,12246,11917,12213,11893.3115,501287
2025-06-30,12215,12271,12018,12093,11776.4531,333104
2025-07-01,12105,12225,12060,12210,11890.3896,207437
2025-07-02,12210,12527,12170,12436,12110.4736,445829
2025-07-03,12436,12575,12376,12398,12073.4688,275755
2025-07-04,12400,12542,12341,12506,12178.6416,191516
2025-07-07,12476,12500,12306,12345,12021.8555,149939
2025-07-08,12345,12495,12305,12445,12119.2383,219226
2025-07-09,12410,12580,12376,12562,12233.1758,379924
2025-07-10,12518,12667,12482,12516,12188.3799,269323
2025-07-11,12516,12637,12452,12495,12167.9297,240034
2025-07-14,12495,12579,12430,12516,12188.3799,278918
2025-07-15,12545,12545,12425,12502,12174.7471,154124
2025-07-16,12504,12515,12398,12453,12127.0293,156311
2025-07-17,12465,12548,12432,12495,12167.9297,166142
2025-07-18,12520,12558,12441,12498,12170.8516,98339
2025-07-21,12560,12714,12374,12577,12247.7832,512521
2025-07-22,12649,12699,12295,12452,12126.0547,533617
2025-07-23,12460,12515,12358,12372,12048.1494,189617
2025-07-24,12372,12399,12230,12304,11981.9297,180080
2025-07-25,12245,12345,12193,12250,12004.959,290381
2025-07-28,12274,12368,12210,12240,11995.1592,214107
2025-07-29,12200,12262,12122,12221,11976.5391,208446
2025-07-30,12205,12381,12201,12268,12022.5996,185681
2025-07-31,12201,12329,12155,12249,12003.9795,150379
2025-08-01,12181,12289,12075,12113,11870.7002,212570
2025-08-04,12158,12290,12132,12257,12011.8193,207875
