date,open,high,low,close,adj_close,volume
2025-03-03,112.1,113.37,107.91,109.07,102.4709,7583589
2025-03-04,108,113.9,107.6,112.67,105.8531,14949162
2025-03-05,112.67,116.88,112.46,115.97,108.9534,11020030
2025-03-06,117.91,118.25,116.45,116.9,109.8271,5960499
2025-03-07,116.8,118,116.49,117.78,110.6539,6559818
2025-03-10,117.41,118.76,112.85,114.18,107.2717,7313320
2025-03-11,113.17,115.39,112.4,114.85,107.9011,6465246
2025-03-12,115.7,115.7,112.61,113.6,106.7268,6991957
2025-03-13,114,115.4,112.99,113.7,106.8207,5896494
2025-03-17,114.36,114.7,112.17,112.54,105.7309,4665767
2025-03-18,112.54,112.54,112.54,112.54,105.7309,0
2025-03-19,118,120.1,117.72,119.68,112.4389,8683377
2025-03-20,120,120.88,118.35,119.19,111.9786,5536428
2025-03-21,119.4,123,119.26,122.52,115.1071,14086531
2025-03-24,124,127.96,123.52,127.46,119.7482,13638740
2025-03-25,128.35,128.59,122.34,123.36,115.8963,15698193
2025-03-26,123.37,124.5,119.85,120.21,112.9369,9343771
2025-03-27,120.3,125.54,119.66,124.21,116.6948,53997400
2025-03-28,124.59,128.15,124.59,126.18,118.5456,14157702
2025-04-01,124.25,125.84,123.15,124.78,117.2304,13543667
2025-04-02,124.84,127.89,122.29,127.31,119.6073,12062536
2025-04-03,126.16,132.89,126,131.29,123.3465,24054870
2025-04-04,131.5,132.72,120.65,122.11,114.7219,29824780
2025-04-07,113.8,119.28,112.52,117.93,110.7948,13443609
2025-04-08,122.49,122.56,117.96,120.84,113.5287,12048353
2025-04-09,120.75,121.44,115.5,116.75,109.6862,10608142
2025-04-11,118.6,120.55,117.35,117.83,110.7009,9947989
2025-04-15,120.12,122.68,119.5,122.4,114.9944,8748156
2025-04-16,122.6,127.65,122.25,127.26,119.5603,13803591
2025-04-17,127.1,127.85,125.15,126.59,118.9308,8986202
2025-04-21,126.59,129.9,126.4,128.64,120.8568,11910446
2025-04-22,130.1,130.8,126.85,127.93,120.1898,23475105
2025-04-23,128.51,129.5,125.1,129.3,121.4769,22310801
2025-04-24,129.29,130.19,127.6,128.52,120.7441,9411382
2025-04-25,128.52,129.45,122.78,124.94,117.3807,13496266
2025-04-28,125.12,129.45,124.56,128.55,120.7723,8705644
