date,open,high,low,close,adj_close,volume
2025-03-03,436,461.05,419.55,456.95,454.1432,27472740
2025-03-04,456.95,480.3,448,477.3,474.3682,16010754
2025-03-05,480.2,486.2,471.4,476,473.0762,14097135
2025-03-06,482.5,494.95,477.85,491.35,488.3319,12690927
2025-03-07,490,490.65,479,487.75,484.754,10433984
2025-03-10,487.8,492.35,480,481.9,478.9399,11965662
2025-03-11,477.8,487.6,470.5,485.2,482.2197,5774624
2025-03-12,487.5,490.35,475.9,478.35,475.4117,9109922
2025-03-13,484,497.5,480.85,488.15,485.1515,7798554
2025-03-17,492.6,509.85,491.55,507.25,504.1342,10136334
2025-03-18,507.25,507.25,507.25,507.25,504.1342,0
2025-03-19,533.85,548.05,530.05,540.9,537.5776,9383855
2025-03-20,546.2,558.6,540.05,548.75,545.3793,12121424
2025-03-21,547,552,533,537.95,534.6457,10054240
2025-03-24,545,547.75,529.65,531.1,527.8376,5386711
2025-03-25,534.5,535,511.65,517.15,513.9734,6675687
2025-03-26,521,535.5,516.55,527.9,524.6574,6576567
2025-03-27,527,540,515,536.3,533.0058,7748386
2025-03-28,537.8,544.75,536.75,539.65,536.3351,5075723
2025-04-01,550,550,529.15,538.75,535.4407,5144301
2025-04-02,540,548,535.45,546.9,543.5406,3535699
2025-04-03,544.95,552.5,538.1,544.5,541.1554,4789352
2025-04-04,544,545,530.65,535.45,532.6501,3148688
2025-04-07,485,524,482.35,519.6,516.883,6892589
2025-04-08,530,541.9,529.1,540.4,537.5743,3768369
2025-04-09,545.95,549.65,537.15,540.2,537.3753,4722939
2025-04-11,540.2,547,535.35,545.75,542.8963,5318824
2025-04-15,556,556,544.05,550.6,547.7209,5151065
2025-04-16,550.6,553.8,543.55,549.2,546.3282,3702521
2025-04-17,550,568.5,549.25,556.75,553.8388,8481820
2025-04-21,562,562,543.3,546.8,543.9407,5680586
2025-04-22,549.5,557.4,548,549.45,546.5769,4384225
2025-04-23,552,557.8,545.1,549.15,546.2785,5172584
2025-04-24,550.85,553.2,531,532.35,529.5663,8356371
2025-04-25,534.1,537.6,516.1,521.95,519.2206,8422092
2025-04-28,520,540.45,520,533.2,530.4119,5207203
2025-04-29,535,539,523.45,529.15,526.3831,5188740
2025-04-30,529,537,507.1,522.35,519.6186,22672997
2025-05-02,526.85,527.3,514,521.85,519.1212,8743052
2025-05-05,533.1,541.3,530,538.75,535.9329,8452993
2025-05-06,540,543.7,510.5,514.3,511.6107,7404521
2025-05-07,506,517.25,503.75,512.1,509.9179,7509344
2025-05-08,515,517.75,485,488.75,486.6674,13165058
2025-05-09,473,498.6,472.35,496.25,494.1355,12371720
2025-05-12,511.85,515.95,505.6,513.85,511.6605,4982466
2025-05-13,515,518,507.6,508.75,506.5823,5612532
2025-05-14,512,515.5,506.45,510.1,507.9265,8226540
2025-05-15,513.9,517.2,504.3,506.6,504.4414,9548436
2025-05-16,506.65,507.3,498,501.65,499.5125,9603273
2025-05-19,502,506.65,493.75,494.8,492.6917,6822744
