date,open,high,low,close,adj_close,volume
2025-03-03,399.95,411.25,389.2,409.15,382.0904,10995655
2025-03-04,401.15,409.3,394.8,406.75,379.8492,7083802
2025-03-05,400.9,430.4,400.9,428.95,400.581,14319490
2025-03-06,434,446.85,431.25,442.95,413.6551,13001883
2025-03-07,442.85,450.1,441.6,445.45,415.9897,7860045
2025-03-10,445.45,451.8,436.15,437.4,408.4721,6433534
2025-03-11,428.5,443.2,426,441.55,412.3476,6287024
2025-03-12,444.9,448.35,437.9,444.95,415.5228,5120030
2025-03-13,447.9,450,442,442.95,413.6551,5054710
2025-03-17,444,451.05,443.15,446.95,417.3905,4865003
2025-03-18,446.95,446.95,446.95,446.95,417.3905,0
2025-03-19,464.7,465.35,459.3,460.55,430.091,5728903
2025-03-20,465,475.2,460.2,470.75,439.6165,10370120
2025-03-21,471.4,473.15,462,467.3,436.3946,12194708
2025-03-24,469,476.05,465.65,472.25,441.0172,7110186
2025-03-25,473.95,473.95,460.1,461.8,431.2584,6983464
2025-03-26,464.4,473.4,463.1,464.15,433.4529,9260792
2025-03-27,463.7,474.75,461.7,472.35,441.1107,7585534
2025-03-28,472.9,475.4,462,463.4,432.7526,6966128
2025-04-01,458,465.7,454.6,457.4,427.1494,4385769
2025-04-02,454,459.45,449.75,457.65,427.3828,4104869
2025-04-03,457.5,457.65,438.1,439.5,410.4332,13020114
2025-04-04,436.7,436.95,398,401.45,374.8997,32283095
2025-04-07,369.95,381.2,363,374.05,349.3118,26557078
2025-04-08,387.45,390.8,368.15,376.1,351.2263,17126260
2025-04-09,376,377.45,368.6,370.55,346.0432,13982904
2025-04-11,385,388.8,378.05,380.15,355.0084,12949202
2025-04-15,389.95,397.7,384.05,395.8,369.6234,10517215
2025-04-16,398,402,391.1,398.7,372.3316,9739439
2025-04-17,398.25,403.75,393.15,400.05,373.5923,8212290
2025-04-21,404,412.9,400.05,411.95,384.7053,7998005
2025-04-22,414,418.3,412.3,413.05,385.7325,7329286
2025-04-23,416,419.7,410.6,418.2,390.5419,8692823
2025-04-24,418.2,431,416.5,420.25,392.4564,13580010
2025-04-25,422.85,425.8,409.5,413.3,385.966,11205671
2025-04-28,414,417.65,408.95,416.1,388.5808,6864935
2025-04-29,418,421.4,414.4,416.3,388.7675,7054453
2025-04-30,418.3,423.25,413.65,419.2,391.4758,13507492
2025-05-02,421,422.9,413,414.7,387.2734,13939534
2025-05-05,415.65,420.45,415,419.5,391.7559,7450806
2025-05-06,420,424.6,409.3,410.95,383.7714,7943490
2025-05-07,402.75,418,402,416,388.4874,8806194
2025-05-08,415,417.9,405.05,407.1,380.176,10344459
2025-05-09,401,408.75,398.6,407.9,380.9231,7120988
2025-05-12,419.95,438.25,417.85,436.05,407.2114,16818909
2025-05-13,436,440.3,432.55,435.4,406.6044,7806161
2025-05-14,438.5,447.1,435.7,442.7,413.4216,11385432
2025-05-15,444.7,448.4,440.35,443.8,414.4488,7108289
2025-05-16,443.8,444.7,439.7,441.2,412.0208,5525659
2025-05-19,442,446.9,440.65,442.05,412.8146,4707043
2025-05-20,447.5,449.6,434,435.35,406.5577,6201064
2025-05-21,436.3,439.15,431.7,437.75,408.799,5310912
2025-05-22,439,439.5,431.5,435.1,406.3242,5505100
2025-05-23,435.4,442.6,433.15,440.05,410.9468,4707367
2025-05-26,444.05,447.4,442.25,445.55,416.0831,4402485
2025-05-27,446,452.35,443.9,448,418.3711,7017265
2025-05-28,448.7,449.45,444,446.85,417.2971,5398706
2025-05-29,450,457.5,445,451.65,421.7796,8539002
2025-05-30,452.9,453,435,435.55,406.7444,13752148
2025-06-02,433.8,434.95,425.9,432.4,403.8028,9008143
2025-06-03,436,440.3,431.5,434,405.297,6553349
2025-06-04,434,438.35,430.4,436.85,407.9585,4747404
2025-06-05,438,442.35,433.5,439.15,410.1064,5877012
2025-06-06,440.8,449.5,438.6,448.05,418.4178,10475617
2025-06-09,452.5,461.4,451.1,457.9,427.6163,8982580
2025-06-10,459.9,467.7,459.1,461.55,431.0249,8036246
2025-06-11,464.5,473.1,462.15,469.3,438.2624,15635681
2025-06-12,470.5,471.85,458,460.5,430.0444,7559224
2025-06-13,450.4,463.65,446.6,458.1,427.8031,6666190
2025-06-16,464,467,456.7,463.9,433.2195,8258945
2025-06-17,464,465.85,457.8,458.95,428.5969,5621986
2025-06-18,464,467.75,453.35,456.5,426.3089,15852801
2025-06-19,456.5,457.35,436.8,439.5,410.4332,12549420
2025-06-20,438.45,449.5,437.7,447.1,417.5306,11493281
2025-06-23,444,451.45,442.05,449.85,420.0987,7310603
2025-06-24,449,451.85,444.5,445.8,422.8971,6350436
