date,open,high,low,close,adj_close,volume
2025-03-03,879,882.05,859.5,870.45,859.819,1109751
2025-03-04,869,874.75,859.85,871.65,861.0043,612480
2025-03-05,876,889.55,871.2,887.45,876.6113,659121
2025-03-06,923.9,925,900,907.4,896.3177,3024764
2025-03-07,908.1,915.7,895.3,900.8,889.7983,663269
2025-03-10,900.8,911.15,890,893.7,882.785,605996
2025-03-11,888.85,904.9,882.85,899.85,888.8599,559901
2025-03-12,898.5,898.75,872,888.25,877.4016,2335024
2025-03-13,895,897.2,880,883.1,872.3145,312720
2025-03-17,888.35,901.3,887.15,892.7,881.7972,960318
2025-03-18,892.7,892.7,892.7,892.7,881.7972,0
2025-03-19,928,930,903,909.9,898.7872,2142040
2025-03-20,917.9,924.35,908,917.25,906.0474,689231
2025-03-21,918,926.95,914.05,918.6,907.3809,1384887
2025-03-24,918.6,939.5,917.75,923.7,912.4186,1401513
2025-03-25,925,929.8,904.9,907.35,896.2682,847472
2025-03-26,907.8,917.45,903.6,907.5,896.4165,1505932
2025-03-27,903.55,906.5,881.8,890.75,879.8711,2181319
2025-03-28,894.9,900.55,880.55,886.4,875.5742,1244840
2025-04-01,888,900.45,872,877.5,866.7828,1453564
2025-04-02,870.25,895.25,862.8,891.15,880.2662,1068766
2025-04-03,949.65,949.65,899.2,901.9,890.8849,4159473
2025-04-04,901.9,905.95,834.5,866.9,856.3123,3287190
2025-04-07,795,854.15,795,837.6,827.3701,1792473
2025-04-08,845,866.2,836.1,859.1,848.6076,2795212
2025-04-09,840.4,849.85,823.3,844.4,834.0872,1594419
2025-04-11,863.85,879,855.2,868.85,858.2385,1116144
2025-04-15,889.8,889.8,868.6,883.15,872.3639,1550801
2025-04-16,883.15,887.25,813,822.1,812.0594,10251029
2025-04-17,830,839.15,816.1,831.55,821.394,4090722
2025-04-21,832.35,847,830.25,845.35,835.0255,1861224
2025-04-22,845.35,854.2,837.9,852.7,842.2858,1015442
2025-04-23,857.6,873,852.7,868,857.3989,1149096
2025-04-24,868,887.25,861.5,880.25,869.4993,1167381
2025-04-25,879.65,882.35,858,859.65,849.1509,1090283
2025-04-28,862.95,887.7,861.25,886.55,875.7224,1527151
2025-04-29,887,894.85,877.05,888.05,877.204,1027694
2025-04-30,888,901.85,883,888.25,877.4016,907542
2025-05-02,887,893.4,874.9,882.05,871.2773,622199
2025-05-05,885.6,895,880.05,892.5,881.5997,392926
2025-05-06,886,886,869.15,880.65,869.8944,1001672
2025-05-07,863.2,889.15,863.2,886.15,875.3272,819319
2025-05-08,886,888.85,865.5,873.7,863.0292,923809
2025-05-09,859,881,859,878.65,867.9188,783197
2025-05-12,881,890,866.25,884.85,874.043,695749
2025-05-13,884.85,903.8,884.85,901.85,890.8354,1523977
2025-05-14,903.45,909.5,890.55,903.5,892.4653,1074055
2025-05-15,903.8,907.45,896.65,904.7,893.6507,493067
2025-05-16,902,907.55,898.5,902.7,891.6751,720221
2025-05-19,906,919.8,902.65,911.25,900.1207,832279
2025-05-20,917.5,920,874.1,883.3,872.512,2737758
2025-05-21,879,896,865.65,889.65,878.7845,1659446
2025-05-22,890,911.5,889.35,903.45,892.416,2150946
2025-05-23,904,909.9,896.15,908.6,897.503,795387
2025-05-26,914,921,908.1,912.85,901.7011,703642
2025-05-27,916.6,921,912.85,918.1,906.887,634513
2025-05-28,925,930.5,917,925.6,914.2954,874275
2025-05-29,932,934,920.3,924.75,913.4558,643360
2025-05-30,929,934,917.3,930,918.6417,1896380
2025-06-02,933.95,935.5,917.05,928,916.6661,817584
2025-06-03,930,934.9,921,926.4,915.0857,480256
2025-06-04,934.95,941.75,927,931.5,920.1234,1429173
2025-06-05,933,958.25,933,955.7,944.0278,1804863
2025-06-06,960,962.5,948.85,960.15,948.4235,810158
2025-06-09,964.9,976,959.85,973.65,961.7586,641864
2025-06-10,970,983.9,969,981.8,969.809,981945
2025-06-11,985,992.45,976.45,978.8,966.8456,869226
2025-06-12,990,995.7,973.15,978.8,966.8456,1972538
2025-06-13,968.1,977.7,960,974.95,963.0427,1046498
2025-06-16,971,977,964.35,974.4,962.4995,777623
2025-06-17,974.4,975.45,947.6,957.65,945.954,1639313
2025-06-18,951,965.3,949.25,958.3,946.596,1016691
2025-06-19,958,958,947,950.05,938.4468,798082
2025-06-20,945,960.35,944,957.1,945.4107,708234
2025-06-23,948.6,957.95,946.9,952.1,940.4717,642532
2025-06-24,962.1,967.9,955.85,964.55,952.7697,1162909
2025-06-25,970.2,977.35,966.35,974.75,962.8452,655603
2025-06-26,979.2,983.5,967.85,981.95,969.9572,876152
2025-06-27,985,988.95,979.15,981.8,969.809,1545595
2025-06-30,987.5,991,978.7,989.95,977.8595,818854
2025-07-01,994.95,1004.6,986.35,1002.5,990.2562,925574
2025-07-02,1005.7,1015,988.5,995.4,983.243,1227396
2025-07-03,992.05,1001.9,987.35,999.4,987.1941,718095
2025-07-04,1004,1014.85,999,1001,988.7745,845835
2025-07-07,1001,1003.95,990,998.8,986.6014,567413
2025-07-08,998.8,1001.3,966,983.2,971.192,1014905
2025-07-09,973.4,982.75,970,978.45,966.4999,906874
2025-07-10,978.45,980.85,965,972.95,961.0671,721738
2025-07-11,973,985.2,970.05,979.6,967.6359,921032
2025-07-14,982.05,990.5,966.1,968.45,956.6221,1409414
2025-07-15,971,975.75,961.5,967.65,955.8318,553271
2025-07-16,980,980,962.95,968.9,957.0666,1049414
2025-07-17,975.5,984.95,972.35,982.75,970.7474,669080
2025-07-18,986.95,986.95,969.95,974.95,963.0427,726018
2025-07-21,974,980.35,968.9,970,958.1531,961832
2025-07-22,970,972.85,951.55,956.75,945.065,864768
2025-07-23,957.7,963.2,954.5,961.95,950.2015,417511
2025-07-24,962.95,976.6,960.15,971.25,959.3879,639210
2025-07-25,967.2,981.95,960.5,976.4,975.5234,1188906
2025-07-28,976.4,989.3,974.05,980.1,979.22,1032847
2025-07-29,985,997.95,980.55,994.85,993.9568,943918
2025-07-30,998,1000.2,989.1,995.15,994.2565,775428
2025-07-31,975.05,986.45,961.1,969.8,968.9293,1187065
2025-08-01,970,970.75,946.35,949.05,948.1979,1284762
2025-08-04,949.95,962,946.55,958.85,957.9891,621617
2025-08-05,953.5,964.2,948.1,960.25,959.3879,479835
2025-08-06,956,959.05,930,932.7,931.8626,1059453
2025-08-07,920,947.75,919.05,944.45,943.6021,954020
2025-08-08,949.8,952.05,932.05,936.15,935.3095,589784
2025-08-11,940.95,958,934.05,955.55,954.6921,355333
2025-08-12,955.55,969,948,955.65,954.792,912710
2025-08-13,955.65,997.5,938.55,988.6,987.7124,1911458
2025-08-14,993.55,1002.85,982.2,988.8,987.9122,717164
2025-08-18,988.8,994,977.3,986.5,985.6143,677972
2025-08-19,986.5,997,984.5,989.45,988.5616,718678
2025-08-20,989.95,991.85,978.35,983.3,982.4172,535407
2025-08-21,983.3,997.6,978.4,985.8,984.9149,716876
2025-08-22,992,999.9,986.45,988.8,987.9122,307423
2025-08-25,992.05,1029.5,990.9,1023.15,1022.2314,2565579
2025-08-26,1015,1016.95,982,987.85,986.9631,2997316
2025-08-28,987.85,990.55,968.4,978.6,977.7214,1108790
2025-08-29,984.3,988.5,969.2,981.05,980.1692,833114
2025-09-01,988,998.1,987,991.05,990.1602,1463193
2025-09-02,991.05,1005,989.7,996.1,995.2056,1106144
2025-09-03,1004,1013.95,999.25,1008.2,1007.2948,1683054
2025-09-04,1014.5,1017.4,1002.5,1011.95,1011.0414,1038028
2025-09-05,1022,1039.05,1005,1013.85,1012.9397,1860389
2025-09-08,1014.05,1022.9,1006.05,1009.65,1008.7435,777187
2025-09-09,1010,1038.7,1009.2,1035.6,1034.6702,1228793
2025-09-10,1040.55,1049.85,1033,1039.6,1038.6666,1086228
2025-09-11,1039.6,1048,1030.3,1043.6,1042.663,537049
2025-09-12,1048.3,1054.6,1042,1044.75,1043.812,559927
2025-09-15,1047,1047,1033.05,1036.9,1035.9691,391508
2025-09-16,1042,1043.5,1030.55,1034.5,1033.5712,511672
2025-09-17,1035,1038.95,1030,1033.8,1032.8718,754208
2025-09-18,1035,1049.95,1025.5,1047.85,1046.9092,977193
2025-09-19,1050,1059.05,1034,1037.3,1036.3688,1054747
2025-09-22,1037.3,1046.15,1032.3,1035.7,1034.77,599637
